Full Name,First Name,Middle Name,Last Name,PID,College,Major Code,Major Description,Class Level,Gender,Cumulative Units,Cumulative GPA,Email(UCSD),Permanent Mailing Addresss Line 1,Permanent Mailing City Line 1,Permanent Mailing State Line 1,Permanent Mailing Zip Code Line 1,Permanent Mailing Country Line 1,Permanent Phone Number,Graduating Quarter,Registration Status
First0 M0 Last0,First0,M0,Last0,A0000000,Warren,BIOL,Biology,JR,M,64,2.29,first0last0@ucsd.edu,0 Main St,La Jolla,CA,92000,US,(858) 555-1000,SU26,Withdrawn
First1 Last1,First1,,Last1,A0000001,Warren,PSYC,Psychology,JR,O,148,2.56,first1last1@ucsd.edu,1 Main St,La Jolla,CA,92001,US,(858) 555-1001,SP26,Withdrawn
First2 M2 Last2,First2,M2,Last2,A0000002,Marshall,PHYS,Physics,FR,F,114,2.91,first2last2@ucsd.edu,2 Main St,La Jolla,CA,92002,US,(858) 555-1002,FA25,Withdrawn
First3 Last3,First3,,Last3,A0000003,Marshall,ECON,Economics,FR,O,154,2.68,first3last3@ucsd.edu,3 Main St,La Jolla,CA,92003,CN,(858) 555-1003,SP26,Withdrawn
First4 M4 Last4,First4,M4,Last4,A0000004,Muir,CSE,Computer Science,SR,M,88,3.15,first4last4@ucsd.edu,4 Main St,La Jolla,CA,92004,US,(858) 555-1004,FA25,Registered
First5 Last5,First5,,Last5,A0000005,Muir,BIOL,Biology,SR,F,109,3.01,first5last5@ucsd.edu,5 Main St,La Jolla,CA,92005,US,(858) 555-1005,SP26,Withdrawn
First6 M6 Last6,First6,M6,Last6,A0000006,Muir,CSE,Computer Science,FR,F,135,2.1,first6last6@ucsd.edu,6 Main St,La Jolla,CA,92006,US,(858) 555-1006,SP26,Leave
First7 Last7,First7,,Last7,A0000007,Sixth,BIOL,Biology,SR,F,126,3.27,first7last7@ucsd.edu,7 Main St,La Jolla,CA,92007,US,(858) 555-1007,SP26,Registered
First8 M8 Last8,First8,M8,Last8,A0000008,Sixth,BIOL,Biology,JR,F,82,2.15,first8last8@ucsd.edu,8 Main St,La Jolla,CA,92008,US,(858) 555-1008,SU26,Leave
First9 Last9,First9,,Last9,A0000009,Muir,PSYC,Psychology,FR,F,107,3.33,first9last9@ucsd.edu,9 Main St,La Jolla,CA,92009,CA,(858) 555-1009,FA25,Leave
First10 M10 Last10,First10,M10,Last10,A0000010,Muir,MATH,Mathematics,JR,O,89,2.52,first10last10@ucsd.edu,10 Main St,La Jolla,CA,92010,IT,(858) 555-1010,SU26,Leave
First11 Last11,First11,,Last11,A0000011,Warren,BIOL,Biology,SR,F,176,3.92,first11last11@ucsd.edu,11 Main St,La Jolla,CA,92011,US,(858) 555-1011,SU26,Registered
First12 M12 Last12,First12,M12,Last12,A0000012,Warren,PHYS,Physics,SR,O,107,2.48,first12last12@ucsd.edu,12 Main St,La Jolla,CA,92012,US,(858) 555-1012,WI26,Leave
First13 Last13,First13,,Last13,A0000013,Muir,PHYS,Physics,JR,F,80,2.78,first13last13@ucsd.edu,13 Main St,La Jolla,CA,92013,US,(858) 555-1013,WI26,Leave
First14 M14 Last14,First14,M14,Last14,A0000014,Warren,ECON,Economics,FR,O,133,2.62,first14last14@ucsd.edu,14 Main St,La Jolla,CA,92014,IN,(858) 555-1014,SU26,Withdrawn
First15 Last15,First15,,Last15,A0000015,Sixth,PHYS,Physics,JR,M,146,3.27,first15last15@ucsd.edu,15 Main St,La Jolla,CA,92015,US,(858) 555-1015,FA25,Leave
First16 M16 Last16,First16,M16,Last16,A0000016,Sixth,CSE,Computer Science,JR,O,95,3.79,first16last16@ucsd.edu,16 Main St,La Jolla,CA,92016,US,(858) 555-1016,WI26,Leave
First17 Last17,First17,,Last17,A0000017,Warren,MATH,Mathematics,SO,M,149,2.78,first17last17@ucsd.edu,17 Main St,La Jolla,CA,92017,US,(858) 555-1017,WI26,Leave
First18 M18 Last18,First18,M18,Last18,A0000018,Warren,BIOL,Biology,SO,M,66,2.35,first18last18@ucsd.edu,18 Main St,La Jolla,CA,92018,US,(858) 555-1018,SP26,Leave
First19 Last19,First19,,Last19,A0000019,Roosevelt,BIOL,Biology,SR,M,137,2.11,first19last19@ucsd.edu,19 Main St,La Jolla,CA,92019,US,(858) 555-1019,FA25,Registered
First20 M20 Last20,First20,M20,Last20,A0000020,Muir,PHYS,Physics,SR,M,64,2.02,first20last20@ucsd.edu,20 Main St,La Jolla,CA,92020,US,(858) 555-1020,SU26,Withdrawn
First21 Last21,First21,,Last21,A0000021,Marshall,PHYS,Physics,SO,M,171,2.44,first21last21@ucsd.edu,21 Main St,La Jolla,CA,92021,US,(858) 555-1021,SP26,Withdrawn
First22 M22 Last22,First22,M22,Last22,A0000022,Sixth,MATH,Mathematics,JR,F,143,3.65,first22last22@ucsd.edu,22 Main St,La Jolla,CA,92022,US,(858) 555-1022,SU26,Withdrawn
First23 Last23,First23,,Last23,A0000023,Warren,BIOL,Biology,SR,O,146,3.1,first23last23@ucsd.edu,23 Main St,La Jolla,CA,92023,US,(858) 555-1023,SU26,Withdrawn
First24 M24 Last24,First24,M24,Last24,A0000024,Marshall,MATH,Mathematics,SO,O,169,3.38,first24last24@ucsd.edu,24 Main St,La Jolla,CA,92024,US,(858) 555-1024,SU26,Withdrawn
