File #,Full Name,PID,Email,Major
1,First2 M2 Last2,A0000002,first2last2@ucsd.edu,Physics
2,First4 M4 Last4,A0000004,first4last4@ucsd.edu,Computer Science
3,First5 Last5,A0000005,first5last5@ucsd.edu,Biology
4,First6 M6 Last6,A0000006,first6last6@ucsd.edu,Computer Science
5,First7 Last7,A0000007,first7last7@ucsd.edu,Biology
6,First8 M8 Last8,A0000008,first8last8@ucsd.edu,Biology
7,First11 Last11,A0000011,first11last11@ucsd.edu,Biology
8,First12 M12 Last12,A0000012,first12last12@ucsd.edu,Physics
9,First13 Last13,A0000013,first13last13@ucsd.edu,Physics
10,First15 Last15,A0000015,first15last15@ucsd.edu,Physics
11,First18 M18 Last18,A0000018,first18last18@ucsd.edu,Biology
12,First20 M20 Last20,A0000020,first20last20@ucsd.edu,Physics
13,First21 Last21,A0000021,first21last21@ucsd.edu,Physics
14,First22 M22 Last22,A0000022,first22last22@ucsd.edu,Mathematics
15,First27 Last27,A0000027,first27last27@ucsd.edu,Computer Science
16,First30 M30 Last30,A0000030,first30last30@ucsd.edu,Physics
17,First31 Last31,A0000031,first31last31@ucsd.edu,Computer Science
18,First35 Last35,A0000035,first35last35@ucsd.edu,Economics
19,First36 M36 Last36,A0000036,first36last36@ucsd.edu,Physics
20,First38 M38 Last38,A0000038,first38last38@ucsd.edu,Physics
21,First39 Last39,A0000039,first39last39@ucsd.edu,Mathematics
22,First41 Last41,A0000041,first41last41@ucsd.edu,Mathematics
23,First42 M42 Last42,A0000042,first42last42@ucsd.edu,Computer Science
24,First44 M44 Last44,A0000044,first44last44@ucsd.edu,Economics
25,First46 M46 Last46,A0000046,first46last46@ucsd.edu,Computer Science
26,First47 Last47,A0000047,first47last47@ucsd.edu,Economics
27,First48 M48 Last48,A0000048,first48last48@ucsd.edu,Biology
28,First49 Last49,A0000049,first49last49@ucsd.edu,Economics
29,First51 Last51,A0000051,first51last51@ucsd.edu,Biology
30,First55 Last55,A0000055,first55last55@ucsd.edu,Biology
31,First56 M56 Last56,A0000056,first56last56@ucsd.edu,Economics
32,First58 M58 Last58,A0000058,first58last58@ucsd.edu,Physics
33,First59 Last59,A0000059,first59last59@ucsd.edu,Economics
34,First60 M60 Last60,A0000060,first60last60@ucsd.edu,Computer Science
35,First63 Last63,A0000063,first63last63@ucsd.edu,Mathematics
36,First64 M64 Last64,A0000064,first64last64@ucsd.edu,Economics
37,First66 M66 Last66,A0000066,first66last66@ucsd.edu,Economics
38,First67 Last67,A0000067,first67last67@ucsd.edu,Psychology
39,First68 M68 Last68,A0000068,first68last68@ucsd.edu,Biology
40,First70 M70 Last70,A0000070,first70last70@ucsd.edu,Economics
41,First72 M72 Last72,A0000072,first72last72@ucsd.edu,Economics
42,First73 Last73,A0000073,first73last73@ucsd.edu,Biology
43,First75 Last75,A0000075,first75last75@ucsd.edu,Biology
44,First77 Last77,A0000077,first77last77@ucsd.edu,Physics
45,First79 Last79,A0000079,first79last79@ucsd.edu,Economics
46,First80 M80 Last80,A0000080,first80last80@ucsd.edu,Biology
47,First87 Last87,A0000087,first87last87@ucsd.edu,Biology
48,First88 M88 Last88,A0000088,first88last88@ucsd.edu,Biology
49,First92 M92 Last92,A0000092,first92last92@ucsd.edu,Physics
50,First93 Last93,A0000093,first93last93@ucsd.edu,Economics
51,First94 M94 Last94,A0000094,first94last94@ucsd.edu,Psychology
52,First97 Last97,A0000097,first97last97@ucsd.edu,Mathematics
53,First10 M10 Last10,A0000010,first10last10@ucsd.edu,Mathematics
54,First0 M0 Last0,A0000000,first0last0@ucsd.edu,Biology
55,First1 Last1,A0000001,first1last1@ucsd.edu,Psychology
56,First3 Last3,A0000003,first3last3@ucsd.edu,Economics
57,First9 Last9,A0000009,first9last9@ucsd.edu,Psychology
